1	Equilinox
2	欢迎！
3	开始游戏
4	操作说明
5	选项
6	退出
7	新世界
8	阴影
9	高清水面
10	开
11	关
12	返回
14	抗锯齿
15	景深效果
16	阳光光束
17	音效
18	音乐
19	保存
20	加载世界
21	加载中
22	岩石
24	移动
25	W,A,S,D
26	冲刺
27	左 Ctrl
28	操控中
29	取消
30	状态标签
31	显示当前被操控动物的状态和健康状况。
32	操作标签
33	显示操控该动物时可使用的键盘操作说明。
34	物种信息
35	查看该物种的总体信息。
36	该对象目前没有任何增益效果。
37	颜色
38	视角控制
39	移动
40	右键拖动
41	旋转
42	鼠标中键
43	缩放
44	滚轮
45	实体操控
46	选择
47	鼠标左键
48	快捷键
49	生物群系测试仪
50	放置
51	B
52	程序开发
53	音乐制作
54	额外音乐
55	网站开发
56	主菜单设计
57	音效制作
58	顶级 Patreon 赞助者
59	鸣谢
60	阴影
61	高清水面
62	抗锯齿
63	景深效果（略有瑕疵）
64	阳光光束
65	镜头光晕
66	音乐
67	音效
68	删除此存档？
69	这是当前世界的存档位。
70	上次游玩
71	生物数量
72	已完成任务
73	点数
74	这是当前世界的存档位。
75	天前
76	小时前
77	分钟前
78	空
79	时间
80	天
81	年
82	正在播放
83	全部曲目
84	音乐音量
85	音效音量
86	已解锁物种！
87	已解锁物品！
88	你已解锁 $0$ 物种。
90	你已解锁 $0$ 物品。
91	未解锁！
92	通过任务解锁
93	状态
94	发现所有物种
95	发现游戏中所有的物种。
96	繁殖
97	让世界拥有 $0$ 个 $1$。
98	$0$ 种群数量
99	已满足 $0$
100	让世界拥有 $0$ 个环境满意度超过 $2$% 的 $1$。
101	蜂巢装满数量
102	用蜂蜜装满一个蜂巢
103	赚取 $0$ dp
104	赚取超过 $0$ dp。
105	解锁 $0$
106	任务完成！
107	现在可以领取 ^$0$^ 任务的奖励了。
108	^$0$^ 任务的奖励已自动领取。
109	完成所有任务
110	完成所有其他任务。
111	看草生长
112	要开始新的生态系统，先种一些简单的草。在 ^植物商店^ 中点击草，然后往世界里放置一些草种。几秒钟后草就会长到最大。等待期间，你可以点击世界中的草来查看它的当前状态和其他选项。
117	绵羊成群
118	是时候养些动物了！创建一群绵羊，确保它们对生存环境满意并且有足够的食物。关于它们偏好的环境和饮食的信息可以在 ^物种信息面板^ 中找到。健康快乐的动物会为你提供稳定的 dp 收入。
119	更多草
120	我们需要更多的草！在世界其他地方种些草，让野生动物开始蔓延。你可以从商店购买新草，或者选择草的 ^操作^ 标签中的 ^移栽^ 选项，把一丛草移到新区域。移栽更贵。
121	种草达人
122	这是一个可重复任务，意味着你可以多次完成它并每次领取奖励。通过建立稳定的草供应，你基本上可以靠种草赚取 dp。
123	一天一苹果
124	这是一个可重复任务，意味着你可以多次完成它并每次领取奖励。这意味着你基本上可以靠种苹果赚取 dp！
125	强大丛林
126	通过解锁和放置相关的丛林物种，在世界中创造丛林生物群系。
127	树木爱好者
128	没有大量的树木，就无法拥有多样而精彩的生态系统！是时候打造一片包含各种不同树种的森林了。
129	完美主义者
130	完成游戏中所有其他任务即可完成此任务。你还需要解锁所有物种，并拥有大量 dp。
131	钱，钱，钱
132	这是有钱人的世界！明智投资，赚取大量 dp 来完成此任务！
133	未开始
134	进行中
135	领取奖励
136	已完成
137	未解锁！
138	已解锁新任务！
139	已解锁新任务！
140	你现在已解锁 $0$ 任务。
141	你已解锁 $0$ 个任务。
142	解锁 $0$ 任务
143	解锁 $0$ 个任务
144	完成！
145	自动完成
146	领取奖励
147	任务信息
148	需求
149	奖励
150	任务 $0$ 尚不可用，需要先完成其他任务才能开始此任务。所需任务如下：
151	还有 $0$ 个……
152	陆地
153	水下
154	贫瘠之地！
155	海拔
156	dp/分
157	帮助
158	关于如何游玩 Equilinox 的有用说明和小贴士。
159	已发现物种
160	植物商店
161	从这个商店购买植物和岩石并放入世界中。随着你完成任务和进化物种，新的物品会不断解锁。
162	已解锁物品
163	动物商店
