301	一种生长在沙漠中的小型多刺植物。这是 Equilinox 中最基础的沙漠植物，是开始创建沙漠生物群系的好起点。
302	中型仙人掌
303	一种高大的仙人掌，几乎可以在沙漠生物群系的任何地方生长。这种仙人掌还会传播沙漠生物群系，非常适合提升沙漠生态系统的质量。
304	仙人掌梨
305	一种非常扎人的仙人掌植物。这种植物喜欢生活在不那么多石的沙漠地区。它也是传播沙漠生物群系的好帮手。
306	伞树
307	一种长着棕色叶子的非常高大的树。这是少数能在沙漠生物群系中生长的树之一。
308	巨型仙人掌
309	一种生长在沙漠中的巨大多刺仙人掌。这种壮观的植物喜欢生活在远离树荫的岩石沙漠环境中。
310	约书亚树
311	一种能够在沙漠中生长的多叶树，尽管只能生长在离水较近的低海拔地区。这是 Equilinox 中仅有的几种能扛住沙漠酷热的树之一！
312	榕树
313	一种生长在丛林中的细长藤蔓小树。这种绿叶树覆盖着藤蔓，可以在任何丛林生物群系中生长。
314	冠层树
315	一棵非常大的丛林树。这棵树上有许多树枝，可供丛林鸟类（如巨嘴鸟）落脚！这是 Equilinox 中最高的树之一，并且只生长在更高海拔的丛林地区。
316	丛林植物
317	一种中等大小的丛林植物，长着大叶子和一朵彩色的花。这朵花有各种不同的颜色。这种植物只能生活在多石的丛林地区。
318	藤树
319	一种藤蔓垂挂的多叶丛林树。这是最基础也是最小的丛林树。只要有岩石在附近，它可以在任何丛林地区生长。
320	丛林花
321	一片生长旺盛的大蓝花。这些花更喜欢在靠近水的丛林地区生长。蝴蝶等昆虫喜欢吸食这些大花朵的花蜜。
322	丛林蘑菇
323	一些在丛林生物群系中生长旺盛的蓝色蘑菇。更喜欢在略高一些的海拔生长。
324	丛林岩石
325	一些长满苔藓的丛林岩石。
326	丛林草
327	这种长草是 Equilinox 中最基础的丛林植物。它可以用作丛林生态系统的基础。
328	热带蘑菇
329	这种蘑菇是一种高大的快速生长蘑菇，生活在热带或丛林生物群系中。
330	报春花
331	一束美丽的粉色报春花。这是开始创建繁茂生物群系的好方法。
332	高蘑菇
333	一种长得有点像巫师帽的高大粉色蘑菇。这种蘑菇主要喜欢生活在繁茂生物群系中，但也能够在其他肥沃地区存活。它生长迅速，喜欢栖息地中有石块。
334	竹子
335	高大且营养丰富的绿色茎秆。这些竹笋深受熊猫喜爱，或者说等熊猫加入 Equilinox 之后就会深受喜爱！在繁茂生物群系的近水岩石地区生长最好。
336	粉树
337	一棵在繁茂生物群系中茁壮成长的可爱粉色树。这棵快速生长的树没什么特别的，但它有助于传播繁茂生物群系，并用于培育更令人惊艳的树。
338	红树
339	一棵分叉的小红树。这棵漂亮的树会不断飘落红叶，树枝间还有空间让鸟儿落脚筑巢。这棵树喜欢在繁茂地区生长。
340	樱花树
341	一棵美丽的巨大树木，粉色的叶子像雪一样飘落。这棵雄伟的树生长在繁茂生物群系中，是游戏中最贵的树之一。
342	热带花
343	一种生长在热带地区的小型彩色花。
344	凤梨科植物
345	这种开花的美丽多叶植物可以在大多数热带地区生长，只要该地区不是太岩石化。它是完善任何热带地区的绝佳选择，也有助于提升生物群系的质量。
346	多叶植物
347	一种生长在热带地区的多叶植物。它除了帮助提升热带生物群系的质量外没有太多用途。
348	花草地
349	一片长而缠绕的草地，点缀着明亮的小蓝花。这种热带草是开始创建热带生物群系的绝佳方式，许多奇异生物可以在其中生活。
350	松树
351	一种生活在高海拔地区的极其高大的针叶树。它是游戏中最高的树之一，更喜欢生活在雪原或森林生物群系中。有大量树枝供鸟类落脚筑巢。
352	冷杉树
353	一种生活在雪原生物群系中的针叶树。它更喜欢岩石地区和高海拔。它也能在贫瘠之地生长，因此是开始创建雪原生物群系的好树。
354	云杉树
355	一种生活在山区的又高又细的针叶树。这种树需要寒冷的气候，因此必须种在雪原生物群系中。它不能靠近岩石生长。
356	蓝铃花
357	一种生长在山地地区的小蓝花。这种植物只能在少数几个生物群系中生存，并且必须种在高海拔地区。
358	冬青灌木
359	一种生长在雪地地区的小灌木。这种灌木结出红色的小浆果，可以食用，对生活在雪原生物群系中的动物非常有用。这是少数几种能在高海拔生存的食物来源之一。
360	雪岩
361	一堆被雪覆盖的岩石。
362	螺旋树
363	一棵有趣的树，树枝扭曲盘旋。它生长在繁茂生物群系中，喜欢和竹子一起在水边生长。热带鸟类喜欢在这棵螺旋树上筑巢。
364	花树
365	一棵美丽的大热带树，黄色的花束垂挂而下。这棵雄伟的树生长在热带或草地地区，更喜欢在稍高海拔、远离水的地方生长。这棵生长缓慢的树也是鸟类筑巢的理想场所。
366	棕榈树
367	这种多叶热带树喜欢生活在热带生物群系的水边。棕榈树会结出椰子，椰子会时不时从树上掉下来，可以被各种动物吃掉。它是 Equilinox 中最基础的热带树。
368	郁金香
369	一小片色彩鲜艳的花，能为世界上任何枯燥的角落增添光彩！只要地形肥沃翠绿，这些郁金香几乎可以在任何地方生长。深受昆虫和各种小型哺乳动物喜爱。
370	青色
371	野生薄荷
372	一种散发强烈薄荷香气的多叶小草本植物。它是传播草原生物群系的好植物，而且营养相当丰富。
373	桦树
374	一种几乎可以在任何草地地区生长的高大树木。为任何草原生物群系增添可爱的一笔！
375	红枫树
376	红枫树是枫树的一种。它偏好的栖息地是草原生物群系的中高海拔地区。它喜欢生活在没有岩石的地方。
377	沼泽草
378	一些生长在沼泽地区的黏糊糊的紫色草。这种植物需要在水边生长，并有助于传播沼泽生物群系。
379	柳树
380	一棵看起来病恹恹的树，叶子下垂。这棵树在沼泽地区生长最好，偏好没有石头的土壤。周围有蘑菇时长势良好。
381	红蘑菇
382	一种大型红色沼泽蘑菇。喜欢生活在靠近水的沼泽地区，有助于提升沼泽生物群系的质量。
383	鸭子
